id;fr;en;primary;secondary;weightType;includeBodyweight
6922144c1c858345acc2d0a0;Développé couché prise serrée;Close Grip Bench Press;chest;deltoids_front|triceps;external_free;false
6922144c1c858345acc2d0a3;Curl pupitre;Preacher Curl;biceps;forearms;external_free;false
6922144c1c858345acc2d0a6;Développé épaules assis;Seated Shoulder Press;chest|deltoids_side;deltoids_front|triceps|deltoids_rear;external_free;false
6922144c1c858345acc2d0a9;Squat gobelet;Goblet Squat;quads;glutes|hamstrings|calves;external_free;false
6922144c1c858345acc2d0ac;Shrug barre;Barbell Shrug;traps;deltoids_side|forearms;external_free;false
6922144c1c858345acc2d0b0;Rowing barre T;T Bar Row;lats;upper_back|biceps|forearms;external_free;false
6922144c1c858345acc2d0b3;Leg Curl allongé;Lying Leg Curl;biceps|hamstrings;forearms|glutes;external_machine;false
6922144c1c858345acc2d0b6;Tractions prise neutre;Neutral Grip Pull Ups;lats;upper_back|biceps|forearms;bodyweight_plus_external;true
6922144c1c858345acc2d0b9;Extension mollets machine;Machine Calf Raise;calves;;external_machine;false
6922144c1c858345acc2d0bc;Pompes diamant;Diamond Push Ups;chest;deltoids_front|triceps;bodyweight_plus_external;true
6922144c1c858345acc2d0bf;Développé poussé;Push Press;chest;deltoids_front|triceps;external_free;false
6922144c1c858345acc2d0c2;Écarté haltères;Dumbbell Fly;chest;deltoids_front|triceps;external_free;false
6922144c1c858345acc2d0c5;Adduction de hanche;Hip Adduction;adductors;glutes;external_free;false
6922144c1c858345acc2d0c8;Shrug haltères;Dumbbell Shrug;traps;deltoids_side|forearms;external_free;false
6922144c1c858345acc2d0cb;Développé décliné;Decline Bench Press;chest;deltoids_front|triceps;external_free;false
6922144c1c858345acc2d0ce;Développé couché barre guidée;Smith Machine Bench Press;chest;deltoids_front|triceps;external_machine;false
6922144c1c858345acc2d0d1;Fentes haltères;Dumbbell Lunge;quads;glutes|hamstrings|calves;external_free;false
6922144c1c858345acc2d0d4;Squat pistol;Pistol Squat;quads;glutes|hamstrings|calves;external_free;false
